cohort_mindex,base_period,mindex,att,se,ci_low,ci_high,zero_not_in_cband
261,248,249,-0.002085730450873306,0.014002714408832823,-0.029530546377985713,0.025359085476239104,
261,249,250,-0.021695119742968207,0.014237967114855405,-0.04960102250115046,0.00621078301521405,
261,250,251,0.0022121866629746566,0.014224528422742844,-0.02566737674266766,0.03009175006861697,
261,251,252,0.022177114497358933,0.014021339353583066,-0.005304205650678,0.04965843464539586,
261,252,253,-0.0024670135017169723,0.014525894577510539,-0.030937243716863294,0.026003216713429346,
261,253,254,-0.009732842628065452,0.01333467576763732,-0.0358683268781536,0.016402641622022696,
261,254,255,0.00022423549977660764,0.014106433526776286,-0.027423866163013247,0.027872337162566464,
261,255,256,0.0024284311894432918,0.013678855010086293,-0.02438163198007112,0.029238494358957704,
261,256,257,0.01577952273113203,0.014094967741783888,-0.011846106406018245,0.04340515186828231,
261,257,258,-0.010591254255324228,0.014217382060005236,-0.03845681104738037,0.017274302536731914,
261,258,259,-0.0008377196272606057,0.014489623354911298,-0.02923685955243718,0.02756142029791597,
261,259,260,0.0008560072333040111,0.013124191584368094,-0.024866935598261124,0.026578950064869145,
261,260,261,0.11711896604757922,0.013361384498627544,0.09093113364667747,0.143306798448481,*
261,260,262,0.16069993861785714,0.013541042579957455,0.1341599828480172,0.1872398943876971,*
261,260,263,0.19386494158256287,0.013370356620241929,0.167659524146432,0.22007035901869373,*
261,260,264,0.18509729209869422,0.013333411125053847,0.15896428650252298,0.21123029769486545,*
261,260,265,0.2050456081154292,0.01378744501191425,0.17802271245325085,0.23206850377760757,*
261,260,266,0.19319747610070598,0.013282137810598062,0.16716496435423608,0.21922998784717587,*
261,260,267,0.18370729733448857,0.013653924669074302,0.15694609673547996,0.21046849793349717,*
261,260,268,0.18463564629977966,0.013737313984395767,0.15771100564604554,0.21156028695351378,*
261,260,269,0.18893542012032646,0.014124170662348489,0.16125255431062618,0.21661828593002674,*
261,260,270,0.2200796855109495,0.013998463559164438,0.19264320109609082,0.2475161699258082,*
261,260,271,0.2023260904433113,0.013942378799327568,0.17499953013781444,0.22965265074880814,*
261,260,272,0.20404179115815446,0.013731825560016215,0.1771279076185361,0.2309556746977728,*
261,260,273,0.20555585855903954,0.013550122331667646,0.17899810680285905,0.23211361031522004,*
261,260,274,0.20612803951840272,0.013436254145170858,0.17979346530674084,0.2324626137300646,*
261,260,275,0.2055781046638228,0.014156544813900926,0.17783178668304972,0.2333244226445959,*
